tournament,no_teams,location,start_date,end_date,prize_pool_usd,winner,runner_up
VALORANT Champions 2024,16,"Seoul, Incheon",2024-08-01,2024-08-25,2250000,EDG,TH
VCT 2024: Americas Stage 2,11,Los Angeles,2024-06-22,2024-07-21,250000,LEV,G2
VCT 2024: Pacific Stage 2,11,Seoul,2024-06-15,2024-07-21,250000,GEN,DRX
VCT 2024: EMEA Stage 2,11,Berlin,2024-06-18,2024-07-20,250000,FNC,VIT
VCT 2024: China Stage 2,11,"Shanghai, Changsha",2024-06-15,2024-07-20,250000,EDG,FPX
VCT 2024: Masters Shanghai,12,Shanghai,2024-05-23,2024-06-09,1000000,GEN,TH
VCT 2024: Pacific Stage 1,11,Seoul,2024-04-06,2024-05-12,250000,PRX,GEN
VCT 2024: Americas Stage 1,11,Los Angeles,2024-04-06,2024-05-12,250000,100T,G2
VCT 2024: China Stage 1,11,Shanghai,2024-04-05,2024-05-12,250000,EDG,FPX
VCT 2024: EMEA Stage 1,11,Berlin,2024-04-03,2024-05-12,250000,FNC,TH
VCT 2024: Masters Madrid,8,Madrid,2024-03-14,2024-03-24,500000,SEN,GEN
VCT 2024: Americas Kickoff,11,Los Angeles,2024-02-16,2024-03-03,250000,SEN,LOUD
VCT 2024: China Kickoff,11,Shanghai,2024-02-22,2024-03-02,250000,EDG,FPX
VCT 2024: EMEA Kickoff,11,Berlin,2024-02-20,2024-03-01,250000,KC,TH
VCT 2024: Pacific Kickoff,11,Seoul,2024-02-17,2024-02-25,250000,GEN,PRX
